"","anio","jurisdicion_nombre","edad_madre","semana_gestacion","sexo","nacimientos_cantidad","educacion"
"19492",2019,"Tierra del Fuego, Antártida e Islas del Atlántico Sur","35 a 39","37 a 41","femenino",2,"Terciaria/Universitaria Incompleta"
"19493",2019,"Tierra del Fuego, Antártida e Islas del Atlántico Sur","35 a 39","24 a 27","femenino",1,"Terciaria/Universitaria Completa"
"19494",2019,"Buenos Aires","35 a 39","37 a 41","indeterminado",1,"Secundaria/Polimodal Completa"
"19495",2019,"Sin Información","25 a 29","37 a 41","indeterminado",1,"Secundaria/Polimodal Incompleta"
"19496",2019,"Formosa","Menor de 15","32 a 36","femenino",1,"Secundaria/Polimodal Incompleta"
"19497",2019,"Tucumán","35 a 39","28 a 31","femenino",2,"Secundaria/Polimodal Incompleta"
"19498",2019,"Santiago del Estero","Menor de 15","37 a 41","femenino",3,"Secundaria/Polimodal Incompleta"
"19499",2019,"Neuquén","30 a 34","32 a 36","femenino",6,"Secundaria/Polimodal Incompleta"
"19500",2019,NA,"35 a 39","37 a 41","femenino",2,"Terciaria/Universitaria Completa"
"19501",2019,"Tucumán","35 a 39","37 a 41","femenino",57,"Secundaria/Polimodal Incompleta"
"19502",2019,"Buenos Aires","30 a 34","37 a 41","desconocido",1,"Terciaria/Universitaria Incompleta"
"19503",2019,"CABA","20 a 24","37 a 41","femenino",14,"Terciaria/Universitaria Incompleta"
"19504",2019,"CABA","20 a 24","42 y más","femenino",1,"Terciaria/Universitaria Incompleta"
"19505",2019,"CABA","20 a 24","Sin especif","femenino",1,"Terciaria/Universitaria Incompleta"
"19506",2019,"Santa Fe","30 a 34","32 a 36","femenino",1,"Terciaria/Universitaria Completa"
"19507",2019,"San Luis","20 a 24","28 a 31","femenino",2,"Secundaria/Polimodal Completa"
"19508",2019,"San Luis","20 a 24","28 a 31","femenino",3,"Secundaria/Polimodal Completa"
"19509",2019,"San Luis","20 a 24","32 a 36","femenino",2,"Secundaria/Polimodal Completa"
"19510",2019,"San Luis","20 a 24","32 a 36","femenino",1,"Secundaria/Polimodal Completa"
"19511",2019,"San Luis","20 a 24","37 a 41","femenino",8,"Secundaria/Polimodal Completa"
"19512",2019,"San Luis","20 a 24","37 a 41","femenino",64,"Secundaria/Polimodal Completa"
"19513",2019,"San Luis","20 a 24","37 a 41","femenino",155,"Secundaria/Polimodal Completa"
"19514",2019,"San Luis","20 a 24","37 a 41","femenino",78,"Secundaria/Polimodal Completa"
"19515",2019,"San Luis","20 a 24","42 y más","femenino",3,"Secundaria/Polimodal Completa"
"19516",2019,"San Luis","20 a 24","42 y más","femenino",8,"Secundaria/Polimodal Completa"
"19517",2019,"San Luis","20 a 24","32 a 36","femenino",1,"Terciaria/Universitaria Incompleta"
"19518",2019,"Tierra del Fuego, Antártida e Islas del Atlántico Sur","30 a 34","37 a 41","femenino",40,"Terciaria/Universitaria Completa"
"19519",2019,"San Luis","20 a 24","28 a 31","femenino",2,"Terciaria/Universitaria Completa"
"19520",2019,"San Luis","25 a 29","32 a 36","femenino",1,"Primaria/C. EGB Completa"
"19521",2019,"San Luis","25 a 29","32 a 36","femenino",1,"Primaria/C. EGB Completa"
"19522",2019,"San Luis","25 a 29","37 a 41","femenino",7,"Primaria/C. EGB Completa"
"19523",2019,"Córdoba","35 a 39","37 a 41","femenino",201,"Secundaria/Polimodal Incompleta"
"19524",2019,"Córdoba","35 a 39","37 a 41","femenino",146,"Secundaria/Polimodal Incompleta"
"19525",2019,"Córdoba","35 a 39","42 y más","femenino",1,"Secundaria/Polimodal Incompleta"
"19526",2019,"Córdoba","35 a 39","37 a 41","femenino",2,"Secundaria/Polimodal Completa"
"19527",2019,"Buenos Aires","15 a 19","37 a 41","indeterminado",2,"Secundaria/Polimodal Completa"
"19528",2019,"San Luis","30 a 34","32 a 36","femenino",3,"Secundaria/Polimodal Incompleta"
"19529",2019,"Buenos Aires","15 a 19","37 a 41","indeterminado",8,"Secundaria/Polimodal Completa"
"19530",2019,"San Luis","30 a 34","37 a 41","femenino",50,"Secundaria/Polimodal Completa"
"19531",2019,"San Luis","30 a 34","32 a 36","femenino",3,"Terciaria/Universitaria Incompleta"
"19532",2019,"San Luis","30 a 34","37 a 41","femenino",1,"Terciaria/Universitaria Incompleta"
"19533",2019,"Buenos Aires","20 a 24","32 a 36","indeterminado",1,"Terciaria/Universitaria Completa"
"19534",2019,"San Luis","30 a 34","42 y más","femenino",2,"Terciaria/Universitaria Incompleta"
"19535",2019,"Santa Fe","40 a 44","37 a 41","femenino",144,"Terciaria/Universitaria Completa"
"19536",2019,"Tucumán","20 a 24","24 a 27","femenino",1,"Secundaria/Polimodal Incompleta"
"19537",2019,"Santiago del Estero","35 a 39","32 a 36","femenino",7,"Secundaria/Polimodal Incompleta"
"19538",2019,"Santiago del Estero","35 a 39","37 a 41","femenino",53,"Secundaria/Polimodal Incompleta"
"19539",2019,"Río Negro","15 a 19","37 a 41","femenino",12,"Secundaria/Polimodal Incompleta"
"19540",2019,"Río Negro","15 a 19","32 a 36","femenino",1,"Terciaria/Universitaria Incompleta"
"19541",2019,"Buenos Aires","20 a 24","32 a 36","indeterminado",1,"Secundaria/Polimodal Completa"
"19542",2019,"Santiago del Estero","20 a 24","37 a 41","indeterminado",1,"Primaria/C. EGB Completa"
"19543",2019,"Santiago del Estero","30 a 34","37 a 41","indeterminado",1,"Secundaria/Polimodal Completa"
"19544",2019,"Córdoba","25 a 29","32 a 36","femenino",1,"Primaria/C. EGB Incompleta"
"19545",2019,"Corrientes","De 45 y más","32 a 36","femenino",1,"Primaria/C. EGB Completa"
"19546",2019,"Corrientes","De 45 y más","37 a 41","femenino",1,"Primaria/C. EGB Completa"
"19547",2019,"Salta","30 a 34","Sin especif","femenino",1,"Sin instrucción"
"19548",2019,"CABA","15 a 19","37 a 41","femenino",4,"Primaria/C. EGB Incompleta"
"19549",2019,"Corrientes","25 a 29","42 y más","femenino",2,"Secundaria/Polimodal Incompleta"
"19550",2019,"Corrientes","25 a 29","42 y más","femenino",5,"Secundaria/Polimodal Incompleta"
"19551",2019,"Buenos Aires","De 45 y más","32 a 36","indeterminado",1,"Terciaria/Universitaria Completa"
"19552",2019,"Córdoba","25 a 29","37 a 41","femenino",1,"Terciaria/Universitaria Incompleta"
"19553",2019,"Buenos Aires","15 a 19","37 a 41","indeterminado",1,"Primaria/C. EGB Incompleta"
"19554",2019,"Buenos Aires","15 a 19","37 a 41","indeterminado",2,"Primaria/C. EGB Incompleta"
"19555",2019,"Buenos Aires","15 a 19","28 a 31","indeterminado",1,"Secundaria/Polimodal Incompleta"
"19556",2019,"Buenos Aires","15 a 19","24 a 27","indeterminado",1,"Secundaria/Polimodal Incompleta"
"19557",2019,"Misiones","20 a 24","24 a 27","femenino",1,"Primaria/C. EGB Incompleta"
"19558",2019,"Misiones","20 a 24","32 a 36","femenino",4,"Primaria/C. EGB Incompleta"
"19559",2019,"Misiones","20 a 24","37 a 41","femenino",1,"Primaria/C. EGB Incompleta"
"19560",2019,"Tucumán","25 a 29","37 a 41","femenino",1,"Secundaria/Polimodal Completa"
"19561",2019,"Tucumán","25 a 29","32 a 36","femenino",13,"Terciaria/Universitaria Incompleta"
"19562",2019,"Buenos Aires","25 a 29","32 a 36","indeterminado",2,"Primaria/C. EGB Completa"
"19563",2019,"Buenos Aires","25 a 29","37 a 41","indeterminado",23,"Primaria/C. EGB Completa"
"19564",2019,"Misiones","20 a 24","28 a 31","femenino",1,"Secundaria/Polimodal Completa"
"19565",2019,"Buenos Aires","25 a 29","37 a 41","indeterminado",26,"Secundaria/Polimodal Incompleta"
"19566",2019,"Buenos Aires","25 a 29","37 a 41","indeterminado",22,"Secundaria/Polimodal Incompleta"
"19567",2019,"Buenos Aires","25 a 29","32 a 36","indeterminado",1,"Secundaria/Polimodal Completa"
"19568",2019,"Buenos Aires","25 a 29","37 a 41","indeterminado",1,"Secundaria/Polimodal Completa"
"19569",2019,"Buenos Aires","30 a 34","37 a 41","indeterminado",11,"Primaria/C. EGB Completa"
"19570",2019,"Buenos Aires","30 a 34","37 a 41","indeterminado",17,"Secundaria/Polimodal Incompleta"
"19571",2019,"Buenos Aires","30 a 34","37 a 41","indeterminado",11,"Secundaria/Polimodal Incompleta"
"19572",2019,"Mendoza","35 a 39","24 a 27","femenino",1,"Terciaria/Universitaria Incompleta"
"19573",2019,"Buenos Aires","30 a 34","37 a 41","indeterminado",15,"Terciaria/Universitaria Completa"
"19574",2019,"Buenos Aires","30 a 34","37 a 41","indeterminado",20,"Terciaria/Universitaria Completa"
